region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,38,30,-,34,28,22,18, -   , -   , -   , -   , -   ,170
CAR,Baguio,G. Aviation,174,92,92,92,62,46,52,36,32,70,90,116,954
CAR,Baguio,Military,8,30,82,8,18,20,18,6,4,20,20,134,368
I (Ilocos Norte),Laoag (International),Cebu Pacific, -   , -   , -   ,60,62, -   , -   , -   , -   , -   , -   , -   ,122
I (Ilocos Norte),Laoag (International),Far East Trans,26,30,18,18,8, -   ,18,18, -   , -   , -   , -   ,136
I (Ilocos Norte),Laoag (International),China S. Air,8, -   , -   , -   , -   , -   , -   , -   ,2,2, -   , -   ,12
I (Ilocos Norte),Laoag (International),TransGlobal Airways, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
I (Ilocos Norte),Laoag (International),C.R. Airways, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
I (Ilocos Norte),Laoag (International),Mandarin Air, -   , -   , -   , -   , -   ,8,18,18,16,20,16,18,114
I (Ilocos Norte),Laoag (International),Asiana Air, -   , -   , -   , -   , -   , -   , -   ,10, -   , -   , -   , -   ,10
I (Ilocos Norte),Laoag (Domestic),PAL,62,58,62,60,62,62,60,62,58,62,60,62,730
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,26,28,62,60,62,60,46,52,48,60,60,48,612
I (Ilocos Norte),Laoag (Domestic),Paco, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
I (Ilocos Norte),Laoag (Domestic),G. Aviation,96,102,186,196,78,68,10,114,60,122,158,60,1250
I (Ilocos Norte),Laoag (Domestic),Military, -   , -   , -   ,32,4,20,48,18, -   ,4, -   ,6,132
I (Ilocos Norte),Lingayen,G. Aviation,674,908,892,998,576,756,1050,62, -   , -   , -   ,942,6858
I (Ilocos Norte),San Fernando,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
I (Ilocos Norte),Vigan,Asian Spirit, -   , -   , -   , -   , -   , -   , -   ,14, -   , -   , -   , -   ,14
I (Ilocos Norte),Vigan,Lion Air, -   , -   , -   , -   , -   , -   , -   , -   , -   ,16,10,12,38
I (Ilocos Norte),Vigan,G. Aviation,1504,574,3244,2194,2046,730,1612,2488,1910,3418,3464,2006,25190
I (Ilocos Norte),Vigan,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,2
