region,airport,airline_operator,january ,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,WCC, -   , -   , -   , -   , -   , -   , -   , -   ,6,16,16, -   ,38
CAR,Baguio,G. Aviation,94,96,140,58,102,48,52,28,20,104,94, -   ,836
CAR,Baguio,Military,16, -   , -   , -   ,2,6,10,10, -   ,8,16, -   ,68
I (Ilocos Norte),Laoag (International),Cebu Pacific,16, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16
I (Ilocos Norte),Laoag (International),China S. Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
I (Ilocos Norte),Laoag (International),Mandarin Airlines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
I (Ilocos Norte),Laoag (International),HK Express, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
I (Ilocos Norte),Laoag (International),Air Macao,8, -   ,28,44,30,34,4, -   ,16,22,36,48,270
I (Ilocos Norte),Laoag (Domestic),PAL,64,58,62,60,62,60,62, -   ,52,52,54,62,648
I (Ilocos Norte),Laoag (Domestic),Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,28,28
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,62,62,64,60,62,58,62, -   ,58,62,62,62,674
I (Ilocos Norte),Laoag (Domestic),WCC, -   , -   , -   ,, -   , -   , -   , -   , -   , -   ,10,16,26
I (Ilocos Norte),Laoag (Domestic),G. Aviation,54,54,54,28, -   , -   ,30, -   , -   ,140, -   ,32,392
I (Ilocos Norte),Laoag (Domestic),Military, -   , -   ,4,2, -   , -   ,2, -   , -   ,6,8,2,24
I (Ilocos Norte),Lingayen,G. Aviation,452,356,606,844,730,1734,564,718,808,1310,4458,4370,16950
I (Ilocos Norte),Lingayen,Military, -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   ,2
I (Ilocos Norte),San Fernando,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
I (Ilocos Norte),Vigan,Lion Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,2
I (Ilocos Norte),Vigan,Seair, -   ,4,16,18,18,14,18,12,18,18,12,8,156
I (Ilocos Norte),Vigan,North South Air,158,14,6,2, -   ,18, -   , -   , -   ,10, -   ,38,246
I (Ilocos Norte),Vigan,G. Aviation,154,104,172,128,140,124,98,112,122,298,190,122,1764
I (Ilocos Norte),Vigan,Military, -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   ,2
II (Cagayan Valley),Bagabag,G. Aviation,56, -   ,150,80,34,14,30, -   ,2, -   ,26,10,402
II (Cagayan Valley),Bagabag,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
II (Cagayan Valley),Basco,Seair,46,86,108,142,134,72,34,28,24,20,22,34,750
II (Cagayan Valley),Basco,North Sky Air, -   , -   , -   , -   , -   , -   , -   ,20,30,26, -   ,66,142
II (Cagayan Valley),Basco,Royal Air, -   , -   , -   ,152,104,48,10, -   , -   , -   , -   , -   ,314
II (Cagayan Valley),Basco,Batanes Air,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10
II (Cagayan Valley),Basco,Florida Air, -   , -   , -   , -   , -   , -   ,10, -   , -   , -   , -   , -   ,10
II (Cagayan Valley),Basco,ATX, -   , -   , -   ,20,30,12, -   , -   , -   , -   , -   , -   ,62
II (Cagayan Valley),Basco,WCC, -   , -   , -   , -   ,4,26,36,42,54,70,66,72,370
II (Cagayan Valley),Basco,Royal Star, -   , -   , -   ,6, -   , -   , -   , -   , -   , -   ,40, -   ,46
II (Cagayan Valley),Basco,Military, -   , -   , -   ,20,30,12, -   , -   , -   , -   , -   ,2,64
II (Cagayan Valley),Basco,G. Aviation, -   ,76,70, -   ,2,6,2, -   , -   , -   , -   ,2,158
II (Cagayan Valley),Cauayan,Cebu Pacific,24,18,26,22,20,30,24,24,32,30,24,22,296
II (Cagayan Valley),Cauayan,G. Aviation,46,90,12,8,18,4,100,10,4,6,2,10,310
II (Cagayan Valley),Cauayan,PAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
II (Cagayan Valley),Cauayan,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
II (Cagayan Valley),Cauayan,Military, -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2
II (Cagayan Valley),Cauayan,Cyclone,852,996,862,926,650,382,738,440,792,1246,1054,404,9342
II (Cagayan Valley),Cauayan,WCC,88, -   , -   , -   , -   ,12, -   , -   , -   , -   ,4, -   ,104
II (Cagayan Valley),Itbayat,Sky pasada, no report submitted ,, -   , -   , -   , -   ,2,16,14,16,20,10,78
II (Cagayan Valley),Itbayat,North Sky Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22,22
II (Cagayan Valley),Palanan,Cyclone, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
II (Cagayan Valley),Palanan,WCC, -   , -   , -   , -   , -   ,34,38, -   , -   , -   , -   , -   ,72
II (Cagayan Valley),Palanan,G. Aviation,106,88,74,154,184,110,98, -   , -   , -   , -   , -   ,814
II (Cagayan Valley),Palanan,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific,18,16,4, -   , -   , -   , -   , -   , -   , -   , -   , -   ,38
II (Cagayan Valley),Tuguegarao (International),G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
II (Cagayan Valley),Tuguegarao (International),Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,60,56,58,60,58,56,60,56,58,58,48,52,680
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippines,86,82,92,62,120,72,60,56,60,60,84,72,906
II (Cagayan Valley),Tuguegarao (Domestic),North Sky , -   ,6, -   , -   , -   , -   , -   ,34,38,38,28,50,194
II (Cagayan Valley),Tuguegarao (Domestic),Royal Aviation, -   ,18, -   ,86,28, -   , -   , -   , -   , -   , -   , -   ,132
II (Cagayan Valley),Tuguegarao (Domestic),WCC Skypasada, -   , -   , -   , -   ,14,92,94,76,126,126,94,116,738
II (Cagayan Valley),Tuguegarao (Domestic),ATX,34,18, -   ,24,34,12, -   , -   , -   , -   , -   , -   ,122
II (Cagayan Valley),Tuguegarao (Domestic),Royal Air, -   , -   , -   , -   ,40, -   , -   , -   , -   , -   , -   , -   ,40
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10
II (Cagayan Valley),Tuguegarao (Domestic),Florida/NAI, -   , -   , -   ,4,2, -   ,12, -   , -   , -   , -   , -   ,18
